[2024-12-04 17:11:36,593: INFO: common: created directory at: artifacts/data_ingestion]
[2024-12-04 17:11:38,518: INFO: 2241091367: File is downloaded successfully.]
[2024-12-04 17:11:38,634: INFO: 2241091367: Extracted zip file to artifacts/data_ingestion.]
[2024-12-04 17:13:06,233: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-12-04 17:13:06,235: INFO: common: yaml file: params.yaml loaded successfully]
[2024-12-04 17:13:06,239: INFO: common: created directory at: artifacts]
[2024-12-04 17:13:06,242: INFO: common: created directory at: artifacts/data_ingestion]
[2024-12-04 17:13:07,377: INFO: 2241091367: File is downloaded successfully.]
[2024-12-04 17:13:07,485: INFO: 2241091367: Extracted zip file to artifacts/data_ingestion.]
[2024-12-04 22:16:51,427: INFO: main: stage Data Ingestion Stage initiated]
[2024-12-04 22:16:51,428: ERROR: main: DataIngestionTrainingPipeline.initiate_data_ingestion() missing 1 required positional argument: 'self']
Traceback (most recent call last):
  File "C:\Users\ericz\TextSummarizer\main.py", line 15, in <module>
    data_ingestion_pipeline.initiate_data_ingestion()
TypeError: DataIngestionTrainingPipeline.initiate_data_ingestion() missing 1 required positional argument: 'self'
[2024-12-04 22:38:30,306: INFO: main: stage Data Ingestion Stage initiated]
[2024-12-04 22:38:30,307: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-12-04 22:38:30,308: INFO: common: yaml file: params.yaml loaded successfully]
[2024-12-04 22:38:30,308: INFO: common: created directory at: artifacts]
[2024-12-04 22:38:30,309: INFO: common: created directory at: artifacts/data_ingestion]
[2024-12-04 22:38:31,851: INFO: data_ingestion: File is downloaded successfully.]
[2024-12-04 22:38:31,900: INFO: data_ingestion: Extracted zip file to artifacts/data_ingestion.]
[2024-12-04 22:38:31,901: INFO: main: Stage Data Ingestion Stage Completed]
